x_coords,y_coords,pa,t,missing,ID,video_index,step*2,step,index,video_name,movie name,genre (IMDB),faces (0-5),human figures (0-5),nature (0-5),man-made objects (0-5),light (0-5)
1298.699951,717.7000122,1291,2269832,0,0043er,94,1,0.5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1153.599976,980.7000122,1251,2270339,0,0043er,94,2,1,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1187.699951,1065,1282,2270833,0,0043er,94,3,1.5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1239.199951,974.2000122,1273,2271881,0,0043er,94,4,2,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1239.199951,974.2000122,1273,2271881,0,0043er,94,5,2.5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1235.699951,958,1240,2272461,0,0043er,94,6,3,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1287.400024,1036.599976,1205,2272835,0,0043er,94,7,3.5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1270.099976,1021.900024,1251,2273337,0,0043er,94,8,4,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1239.400024,1018.5,1216,2273836,0,0043er,94,9,4.5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1285.599976,1011.400024,1154,2274334,0,0043er,94,10,5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1301.400024,1019.400024,1175,2274832,0,0043er,94,11,5.5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1257.599976,876.7000122,1191,2275333,0,0043er,94,12,6,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
994.7000122,986.7000122,1360,2275836,0,0043er,94,13,6.5,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
