x_coords,y_coords,pa,t,missing,ID,video_index,step_5,step,index,video_name,movie name,genre (IMDB),faces (0-5),human figures (0-5),nature (0-5),man-made objects (0-5),light (0-5)
1298.699951,717.7000122,1291,2269832,0,0043er,94,1,0.2,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1284.900024,723.7000122,1280,2270033,0,0043er,94,2,0.4,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1137.099976,983.2999878,1244,2270235,0,0043er,94,3,0.6,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1137.099976,1006.799988,1258,2270436,0,0043er,94,4,0.8,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1198.699951,1002.200012,1276,2270634,0,0043er,94,5,1,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1187.699951,1065,1282,2270833,0,0043er,94,6,1.2,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1170.099976,1032.900024,1239,2271033,0,0043er,94,7,1.4,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1151.300049,1026,1159,2271233,0,0043er,94,8,1.6,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1239.199951,974.2000122,1273,2271881,0,0043er,94,9,1.8,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1239.199951,974.2000122,1273,2271881,0,0043er,94,10,2,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1239.199951,974.2000122,1273,2271881,0,0043er,94,11,2.2,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1235.699951,958,1240,2272461,0,0043er,94,12,2.4,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1235.699951,958,1240,2272461,0,0043er,94,13,2.6,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1235.699951,958,1240,2272461,0,0043er,94,14,2.8,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1287.400024,1036.599976,1205,2272835,0,0043er,94,15,3,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
1287.400024,1036.599976,1205,2272835,0,0043er,94,16,3.2,94,APPAL_2a_c.mov,Appaloosa,action/crime/drama (Western?),0,2,5,0,4
